actor,titulo,personaje
Felipe Alicia Frías,El ultimo viaje,El heroe
Esteban Solano Soto,El ultimo viaje,El traidor
Lucas Salvador Alonzo Jaimes,El ultimo viaje,La protagonista
Nancy Ignacio Aguilera,Sombras del pasado,El villano
Uriel Héctor Ávalos Carrillo,Sombras del pasado,El villano
Mariana Andrea Montalvo Regalado,La gran aventura,La madre
Sr(a). Lilia Becerra,La gran aventura,El heroe
Alberto Susana Méndez Santiago,La gran aventura,El mentor
Gabino Sáenz Garay,La gran aventura,El villano
Zacarías Timoteo Vaca,La gran aventura,El mentor
Sr(a). Hilda Ávalos,Codigo rojo,El mentor
Rocío Helena Caldera Escalante,Codigo rojo,El heroe
Jacobo Javier Zamudio,Codigo rojo,La madre
Berta Ornelas Almaraz,Entre dos mundos,La detective
Frida Beatriz Reyna,Entre dos mundos,El lider
Silvano Óliver Granado,Entre dos mundos,El villano
Mtro. Alta  Gracia Botello,Entre dos mundos,La protagonista
Paola Sevilla Robles,Entre dos mundos,El heroe
Raquel Elsa de Anda Pérez,El despertar,El cientifico
Yuridia Girón Rojo,El despertar,El amigo
Sofía Puente,La tormenta perfecta,El traidor
Mtro. Bruno Cazares,La tormenta perfecta,El heroe
Lic. Arturo Gamez,La tormenta perfecta,La detective
Adán Vela,La tormenta perfecta,El amigo
Esther Humberto Bétancourt,Mas alla del horizonte,El villano
Patricia Estefanía Cadena Magaña,Mas alla del horizonte,El cientifico
Diego Miriam Ballesteros,Mas alla del horizonte,El cientifico
Irma Ureña,El secreto del lago,La protagonista
Yuridia Escobar Casillas,El secreto del lago,El mentor
Flavio de la Rosa,El secreto del lago,El traidor
Juan Jaramillo,El secreto del lago,El traidor
Salvador Ricardo Armas,Voces en la oscuridad,El villano
Sr(a). Hilda Ávalos,Voces en la oscuridad,La madre
Silvano Óliver Granado,Voces en la oscuridad,El amigo
Indira Enrique Paz Lemus,El guardian eterno,El amigo
Gabino Sáenz Garay,El guardian eterno,El villano
Patricia Estefanía Cadena Magaña,La caida,La detective
Salvador Ricardo Armas,La caida,El lider
Adán Vela,La caida,El amigo
Indira Enrique Paz Lemus,La caida,El traidor
Mtro. Estela Báez,Tiempo prestado,El lider
Dr. Lourdes Huerta,Tiempo prestado,El lider
Sr(a). Abigail Almonte,Tiempo prestado,El cientifico
Ing. Enrique Guevara,El ultimo testigo,El lider
Patricia Estefanía Cadena Magaña,El ultimo testigo,El amigo
Berta Ornelas Almaraz,El ultimo testigo,El lider
María Eugenia Clara Medrano,Luz y oscuridad,La detective
Aurora Miguel Ángel Carrero Colunga,Luz y oscuridad,El villano
Yuridia Escobar Casillas,Luz y oscuridad,El amigo
Miguel Rosario Barragán,El regreso,El traidor
Sofía Puente,El regreso,El villano
Gabino Sáenz Garay,El regreso,La protagonista
Patricia Estefanía Cadena Magaña,El regreso,La detective
Gabriel Teodoro Toledo,El regreso,El mentor
Ing. Amelia Correa,La promesa rota,La madre
Juan Jaramillo,La promesa rota,La madre
Hugo Victoria Garica Rodrígez,La promesa rota,El cientifico
Raquel Elsa de Anda Pérez,La promesa rota,La detective
Uriel Héctor Ávalos Carrillo,En el limite,La protagonista
María Eugenia Clara Medrano,En el limite,La protagonista
Marcela Inés Zarate,En el limite,El villano
Gabriela Israel Ayala Alcántar,En el limite,La madre
Lic. Arturo Gamez,En el limite,El mentor
Rocío Helena Caldera Escalante,El camino perdido,El amigo
Carmen Pamela Dávila,El camino perdido,El heroe
Flavio de la Rosa,El camino perdido,El heroe
Gabriela Israel Ayala Alcántar,El camino perdido,El heroe
Mtro. Estela Báez,La verdad oculta,La madre
María Teresa Bermúdez,La verdad oculta,La detective
Daniel Magdalena Galindo Partida,La verdad oculta,La detective
Miguel Rosario Barragán,La verdad oculta,El heroe
Cristina Cynthia Zavala Padilla,La verdad oculta,La madre
Diego Miriam Ballesteros,Sin salida,El heroe
Rosalia Nancy Flores,Sin salida,La madre
Flavio de la Rosa,Sin salida,La detective
Indira Enrique Paz Lemus,Sin salida,El cientifico
Esteban Rojo Enríquez,Sin salida,La protagonista
David Ulloa,El precio de la gloria,El heroe
Esteban Solano Soto,El precio de la gloria,El mentor
Jacobo Javier Zamudio,El precio de la gloria,El amigo
Ing. Andrea Tapia,El precio de la gloria,La detective
Claudia Naranjo,El precio de la gloria,El traidor
Sr(a). María Eugenia Saldivar,Fragmentos,El traidor
Sr(a). Abigail Almonte,Fragmentos,El amigo
Gabriel Teodoro Toledo,La decision,El lider
Esteban Rojo Enríquez,La decision,El amigo
Miguel Rosario Barragán,El ultimo heroe,La madre
Mtro. Bruno Cazares,El ultimo heroe,El heroe
Dolores Vargas,Mas fuerte que el destino,La madre
Mtro. Alta  Gracia Botello,Mas fuerte que el destino,La protagonista
Ing. Enrique Guevara,Mas fuerte que el destino,La madre
Rosalia Nancy Flores,Mas fuerte que el destino,La protagonista
Gabriela Alcala Carranza,La noche infinita,El villano
Rosario Arellano Portillo,La noche infinita,El villano
Hugo Victoria Garica Rodrígez,La noche infinita,El amigo
Socorro Arevalo Avilés,La noche infinita,La madre
Cristina Cynthia Zavala Padilla,Origen,El cientifico
Gabino Sáenz Garay,Origen,El heroe
Cristina Cynthia Zavala Padilla,El peso del silencio,El amigo
Lic. Martha Aguilera,El peso del silencio,El villano
Sr(a). Hilda Ávalos,La frontera,La madre
Alberto Susana Méndez Santiago,La frontera,El mentor
Silvia Macías,La frontera,La detective
Alta  Gracia Negrete Echeverría,Renacimiento,La protagonista
Mtro. Salma Mondragón,Renacimiento,El mentor
Jacobo Javier Zamudio,El eco del pasado,La madre
Diego Miriam Ballesteros,El eco del pasado,La detective
Esther Barbara Vera Escamilla,El eco del pasado,La protagonista
María Teresa Bermúdez,La ultima oportunidad,El villano
Adriana Agustín Lara,La ultima oportunidad,El villano
Estela Catalina Páez,La ultima oportunidad,La detective
Rosalia Rincón Ruelas,La ultima oportunidad,La madre
Lic. Carmen Nava,La ultima oportunidad,El villano
Irma Ureña,Sueños rotos,La madre
Aurora Villagómez,Sueños rotos,El villano
Gabriel Teodoro Toledo,El laberinto,La protagonista
Indira Enrique Paz Lemus,El laberinto,El mentor
Paola Sevilla Robles,El laberinto,El villano
Alvaro Márquez,El laberinto,El mentor
Claudia Naranjo,La batalla final,El villano
Sofía Berta Cortez,La batalla final,El cientifico
Silvano Óliver Granado,La batalla final,El lider
Cristina Cynthia Zavala Padilla,Instinto,El amigo
Sr(a). María Eugenia Saldivar,Instinto,El cientifico
Gabriel Teodoro Toledo,Instinto,La detective
Cristina Cynthia Zavala Padilla,El prisionero,El mentor
Socorro Arevalo Avilés,El prisionero,El amigo
Elisa Alfaro,El prisionero,El cientifico
Irma Ureña,El prisionero,El traidor
Aurora Villagómez,La sombra del mal,La protagonista
Silvia Macías,La sombra del mal,El mentor
Sr(a). María Eugenia Saldivar,La sombra del mal,El villano
Eloisa Henríquez Gastélum,La sombra del mal,El heroe
Mtro. Salma Mondragón,La sombra del mal,La protagonista
Itzel Paz Luevano,Conexion fatal,El lider
Mtro. Salma Mondragón,Conexion fatal,La protagonista
Rafaél Gurule Benavides,Conexion fatal,El cientifico
Gabriela Alcala Carranza,El elegido,El cientifico
Sofía Puente,El elegido,La madre
Gabriela Israel Ayala Alcántar,El elegido,El heroe
Flavio de la Rosa,Mas alla del bien,La detective
Rocío Helena Caldera Escalante,Mas alla del bien,El traidor
Daniel Magdalena Galindo Partida,Mas alla del bien,La madre
Gabriela Israel Ayala Alcántar,Mas alla del bien,El cientifico
Cristian Jorge Ontiveros,La trampa,El villano
Esteban Solano Soto,La trampa,El villano
Estela Catalina Páez,La trampa,El villano
Mariana Andrea Montalvo Regalado,El punto de quiebre,El traidor
Dr. Francisca Lovato,El punto de quiebre,El heroe
Dr. Elsa Corona,El punto de quiebre,El lider
Ing. Amelia Correa,Sangre fria,La madre
Juan Jaramillo,Sangre fria,El amigo
María Teresa Bermúdez,El espejo roto,El heroe
Aldo Granados,El espejo roto,El traidor
Eloisa Henríquez Gastélum,El espejo roto,La madre
Gabriel Teodoro Toledo,La redencion,El mentor
Esther Barbara Vera Escamilla,La redencion,El lider
Gabriela Alcala Carranza,Tierra de nadie,El villano
Silvano Óliver Granado,Tierra de nadie,La detective
Mtro. Alta  Gracia Botello,Tierra de nadie,El amigo
Ariadna Alarcón,Tierra de nadie,La detective
Esther Humberto Bétancourt,Tierra de nadie,El mentor
Silvano Óliver Granado,El horizonte perdido,El heroe
Juan Jaramillo,El horizonte perdido,El lider
Irma Ureña,El horizonte perdido,El mentor
Dr. Elsa Corona,El horizonte perdido,El villano
Gabriela Alcala Carranza,La conspiración,El mentor
Gloria Jáquez,La conspiración,El mentor
Zacarías Timoteo Vaca,La conspiración,La protagonista
Daniel Magdalena Galindo Partida,Doble identidad,El amigo
Sr(a). Hilda Ávalos,Doble identidad,El heroe
Patricia Estefanía Cadena Magaña,El umbral,El mentor
Ing. Amelia Correa,El umbral,La madre
Estela Catalina Páez,Fuera de control,El amigo
Sr(a). Lilia Becerra,Fuera de control,La madre
Dr. Lourdes Huerta,La señal,La detective
Mtro. Salma Mondragón,La señal,La madre
Aldo Granados,El ultimo acto,El lider
Marisol Aranda,El ultimo acto,El amigo
María Eugenia Clara Medrano,Tormenta de fuego,El cientifico
Alvaro Marisol Flores,Tormenta de fuego,El lider
Sr(a). María Eugenia Saldivar,Tormenta de fuego,La detective
Mateo Martínez,La herencia maldita,El amigo
Dolores Vargas,La herencia maldita,La detective
Lic. Arturo Gamez,La herencia maldita,La protagonista
Ing. Andrea Tapia,Punto ciego,La detective
Mtro. Salma Mondragón,Punto ciego,La protagonista
Dr. Elsa Corona,El cazador,El lider
Sr(a). María Eugenia Saldivar,El cazador,El villano
Sr(a). Abigail Almonte,El cazador,La madre
Luisa Perea,La maldicion,La detective
Ing. Andrea Tapia,La maldicion,El mentor
María Teresa Bermúdez,La maldicion,La detective
Rafaél Gurule Benavides,La maldicion,El villano
Socorro Arevalo Avilés,La maldicion,El amigo
Uriel Héctor Ávalos Carrillo,Sin rastro,El villano
Esteban Solano Soto,Sin rastro,La madre
Socorro Arevalo Avilés,El codigo olvidado,El heroe
Cristina Cynthia Zavala Padilla,El codigo olvidado,El lider
Indira Enrique Paz Lemus,El codigo olvidado,La detective
Gloria Jáquez,La venganza,El traidor
Irma Ureña,La venganza,La madre
Carmen Pamela Dávila,La venganza,El mentor
Rafaél Gurule Benavides,Oscuridad total,El villano
Miguel Rosario Barragán,Oscuridad total,El villano
Luisa Perea,El infiltrado,El villano
Salvador Ricardo Armas,El infiltrado,El mentor
Sr(a). Oswaldo Portillo,El infiltrado,La madre
Gabino Sáenz Garay,El infiltrado,El lider
Mtro. Estela Báez,La zona roja,El heroe
Alvaro Marisol Flores,La zona roja,El lider
Adela Lozano,La zona roja,El cientifico
Sr(a). María Eugenia Saldivar,La zona roja,El lider
Mtro. Alta  Gracia Botello,Colapso,El lider
Sr(a). Oswaldo Portillo,Colapso,La madre
Nancy Ignacio Aguilera,Colapso,El mentor
Lucas Salvador Alonzo Jaimes,Colapso,El amigo
David Ulloa,El testigo silencioso,La madre
Irma Ureña,El testigo silencioso,El villano
Magdalena Abreu,La fuga,El traidor
Gloria Jáquez,La fuga,La protagonista
Sr(a). Oswaldo Portillo,La fuga,El heroe
Mtro. Salma Mondragón,Abismo,La madre
Gabriel Teodoro Toledo,Abismo,La detective
Gabriela Israel Ayala Alcántar,Abismo,El amigo
Daniel Magdalena Galindo Partida,El oraculo,El mentor
Aurora Villagómez,El oraculo,El villano
Dolores Vargas,El oraculo,El amigo
Alta  Gracia Negrete Echeverría,La marca del diablo,El villano
Silvia Macías,La marca del diablo,El amigo
Patricia Estefanía Cadena Magaña,Impacto,El mentor
Esther Humberto Bétancourt,Impacto,El traidor
Aurora Villagómez,Impacto,El lider
Adela Lozano,Impacto,El traidor
Sr(a). Hilda Ávalos,Impacto,La detective
Alvaro Marisol Flores,El ultimo recurso,El lider
Esteban Rojo Enríquez,El ultimo recurso,La protagonista
Frida Beatriz Reyna,El ultimo recurso,La detective
Magdalena Abreu,La pesadilla,El mentor
Aldo Granados,La pesadilla,El villano
Alvaro Márquez,La pesadilla,El cientifico
Silvano Óliver Granado,La pesadilla,El traidor
Marcela Inés Zarate,La pesadilla,El villano
