director,titulo
Rafaél Segura Roque,El ultimo viaje
Juana Loya,Sombras del pasado
Iván Padilla Briseño,La gran aventura
José Manuél Figueroa Zepeda,Codigo rojo
Mtro. Pablo Sotelo,Entre dos mundos
Jorge Luis Nelly Salgado,El despertar
Lic. Mateo Leiva,La tormenta perfecta
Gloria Monroy,Mas alla del horizonte
Horacio Villa,El secreto del lago
Sandra Preciado Luna,Voces en la oscuridad
Rosario Méndez,El guardian eterno
Rafaél Segura Roque,La caida
Jorge Luis Nelly Salgado,Tiempo prestado
Sandra Preciado Luna,El ultimo testigo
Iván Padilla Briseño,Luz y oscuridad
Alonso Leonel Contreras,El regreso
Sr(a). Francisco Granado,La promesa rota
Armando Genaro Carbajal Aguilera,En el limite
José Emilio Luis Mena,El camino perdido
Mtro. Beatriz Gaytán,La verdad oculta
Leonardo Camilo Lira Loya,Sin salida
Ana Jesús Cardona,El precio de la gloria
Octavio Luis Manuel Caballero Borrego,Fragmentos
Felix Estela Lomeli Angulo,La decision
Dr. Bianca Godínez,El ultimo heroe
Rafaél Omar Salinas,Mas fuerte que el destino
Mtro. Beatriz Gaytán,La noche infinita
Horacio Villa,Origen
Juana Loya,El peso del silencio
Dr. Karla Tirado,La frontera
Dr. Bianca Godínez,Renacimiento
Felix Estela Lomeli Angulo,El eco del pasado
Judith Vargas,La ultima oportunidad
Trinidad Montaño,Sueños rotos
Sr(a). Zoé Rolón,El laberinto
Carlos José Hidalgo,La batalla final
Dr. Bianca Godínez,Instinto
Mtro. Pablo Sotelo,El prisionero
Mauro Ariadna Valadez,La sombra del mal
Jorge Luis Nelly Salgado,Conexion fatal
Mauro Ariadna Valadez,El elegido
Trinidad Montaño,Mas alla del bien
Juana Loya,La trampa
Sr(a). Eloy Urías,El punto de quiebre
Isabel Alonso Reyna,Sangre fria
José Emilio Luis Mena,El espejo roto
Dr. Karla Tirado,La redencion
Horacio Villa,Tierra de nadie
Carlos José Hidalgo,El horizonte perdido
Rodolfo Francisco Javier Marín Alarcón,La conspiración
Isabel Alonso Reyna,Doble identidad
Nicolás Silvia Tapia,El umbral
José Emilio Luis Mena,Fuera de control
José Emilio Luis Mena,La señal
Sr(a). Francisco Granado,El ultimo acto
Lic. Mateo Leiva,Tormenta de fuego
Ana Jesús Cardona,La herencia maldita
Sr(a). Zoé Rolón,Punto ciego
Octavio Luis Manuel Caballero Borrego,El cazador
José Manuél Figueroa Zepeda,La maldicion
Sr(a). Zoé Rolón,Sin rastro
José Manuél Figueroa Zepeda,El codigo olvidado
Elias Mónica Tafoya,La venganza
Dolores Sotelo Loya,Oscuridad total
José Emilio Luis Mena,El infiltrado
Humberto Lebrón,La zona roja
Nicolás Silvia Tapia,Colapso
Iván Padilla Briseño,El testigo silencioso
Violeta Diana Badillo,La fuga
Carlos José Hidalgo,Abismo
Héctor Alcala,El oraculo
Jonás Dalia Valle Pelayo,La marca del diablo
Alonso Leonel Contreras,Impacto
Octavio Luis Manuel Caballero Borrego,El ultimo recurso
Carlota Yolanda Hidalgo Rentería,La pesadilla
Isabel Alonso Reyna,Zona de guerra
Octavio Luis Manuel Caballero Borrego,El legado
Socorro Gaytán Solano,La trampa mortal
Lic. Mateo Leiva,Detonacion
Agustín Isabel Riojas Ybarra,El tiempo se acaba
Dolores Sotelo Loya,La oscuridad interior
Dr. Karla Tirado,Furia imparable
Humberto Lebrón,El punto final
Héctor Alcala,La amenaza
Jonás Dalia Valle Pelayo,Sin identidad
Carlota Yolanda Hidalgo Rentería,El precio del poder
Isabel Alonso Reyna,La caida libre
Mtro. Pablo Sotelo,Explosion
Lic. Cristian Menchaca,El juego mortal
Mauro Arriaga Batista,La red
Lic. Cristian Menchaca,Bajo cero
Carlos José Hidalgo,El silencio roto
Agustín Isabel Riojas Ybarra,La ultima frontera
José Emilio Luis Mena,Sombra y luz
Mauro Ariadna Valadez,El destino marcado
Sr(a). Zoé Rolón,La fuerza del mal
Violeta Diana Badillo,Colision
Estela Díaz,El guerrero
Dr. Bianca Godínez,La verdad prohibida
Dr. Bianca Godínez,Zona de peligro
Octavio Luis Manuel Caballero Borrego,El infierno verde
Sandra Preciado Luna,La persecucion
Nicolás Silvia Tapia,Torbellino
Sandra Preciado Luna,La segunda oportunidad
Lic. Mateo Leiva,Sin memoria
José Manuél Figueroa Zepeda,El proyecto secreto
Sandra Preciado Luna,La cadena rota
Gonzalo Jiménez,Insurreccion
César Oswaldo Carrasco,El ladrón de sueños
Rosario Méndez,La profecia
Sandra Preciado Luna,Cero absoluto
César Oswaldo Carrasco,El guardian
Rodolfo Francisco Javier Marín Alarcón,La mente oscura
Juana Loya,Desolacion
Rafaél Omar Salinas,El ultimo comando
Rafaél Segura Roque,La isla perdida
María del Carmen Armas,Sin piedad
Ana Jesús Cardona,El cruce
Ana Jesús Cardona,La tela de araña
María del Carmen Armas,Evasion total
Rosario Méndez,El monstruo interior
Isabel Alonso Reyna,La guerra fria
Felix Estela Lomeli Angulo,Punto de no retorno
Humberto Lebrón,El enviado
Dolores Sotelo Loya,La venganza perfecta
Socorro Gaytán Solano,Caos total
María del Carmen Armas,El vigilante
Gonzalo Jiménez,La clave perdida
Ana Jesús Cardona,Sin escape
Carlota Yolanda Hidalgo Rentería,El vacio
Dr. Karla Tirado,La sombra del pasado
Felix Estela Lomeli Angulo,Colisión de mundos
Mtro. Beatriz Gaytán,El ultimo susurro
Armando Genaro Carbajal Aguilera,La bestia
Lic. Cristian Menchaca,Territorio enemigo
Gonzalo Jiménez,El riesgo calculado
Elias Mónica Tafoya,La oscuridad eterna
Alonso Leonel Contreras,Fuga imposible
Rodolfo Francisco Javier Marín Alarcón,El precio de la verdad
Alonso Leonel Contreras,La señal perdida
César Oswaldo Carrasco,Sin retorno
Mtro. Pablo Sotelo,El despertador
Alonso Leonel Contreras,La alianza
Cristal Natividad Paredes,Implosion
José Manuél Figueroa Zepeda,El mensajero
Jonás Dalia Valle Pelayo,La rueda del destino
Ana Jesús Cardona,Punto critico
Dr. Karla Tirado,El ultimo grito
Carlota Yolanda Hidalgo Rentería,La sombra del futuro
Rodolfo Francisco Javier Marín Alarcón,Sin fronteras
Jonás Dalia Valle Pelayo,El error fatal
Jonás Dalia Valle Pelayo,La noche de los lobos
Humberto Lebrón,Zona prohibida
Rafaél Omar Salinas,El cazador de almas
Gonzalo Jiménez,La espiral
Ana Jesús Cardona,Derrumbe
Violeta Diana Badillo,El tercer ojo
Lic. Cristian Menchaca,La ultima batalla
Gloria Monroy,Sin cuartel
Dr. Bianca Godínez,El abismo oscuro
Isabel Alonso Reyna,La caja de pandora
Estela Díaz,Golpe mortal
Mauro Arriaga Batista,El testamento
Mauro Arriaga Batista,La maquina del tiempo
José Emilio Luis Mena,Sin salida aparente
Héctor Alcala,El poder oculto
Sr(a). Eloy Urías,La amenaza silenciosa
Mateo Gabriel Solorzano,Descenso
Mauro Ariadna Valadez,El ultimo dia
Juana Loya,La fuerza interior
Gloria Monroy,Sin tregua
Mtro. Beatriz Gaytán,El maestro del engano
Carlota Yolanda Hidalgo Rentería,La trampa final
Sr(a). Francisco Granado,Combustion
José Emilio Luis Mena,El observador
Lic. Cristian Menchaca,La red de mentiras
José Manuél Figueroa Zepeda,Sin identidad conocida
Leonardo Camilo Lira Loya,El ultimo paso
Leonardo Camilo Lira Loya,La noche sin fin
Sandra Preciado Luna,Fractura
Socorro Gaytán Solano,El espiritu guerrero
Sandra Preciado Luna,La zona gris
Rodolfo Francisco Javier Marín Alarcón,Sin piedad ni gloria
Mauro Arriaga Batista,El codigo negro
Héctor Alcala,La ultima esperanza
Estela Díaz,Tormenta interior
Cristal Natividad Paredes,El regreso del mal
Dr. Karla Tirado,La conexion
Rafaél Segura Roque,Sin nombre
Alonso Leonel Contreras,El doble juego
Humberto Lebrón,La fuerza del destino
Jonás Dalia Valle Pelayo,Impacto final
Mauro Arriaga Batista,El mundo al reves
Iván Padilla Briseño,La guerra de sombras
Rosario Méndez,Punto sin retorno
Alonso Leonel Contreras,El espejo oscuro
Jorge Luis Nelly Salgado,La voz del silencio
Mtro. Beatriz Gaytán,Sin limite
Jorge Luis Nelly Salgado,El cazador solitario
Felix Estela Lomeli Angulo,La herida abierta
